,wl,n,k
124,4.5151999999999996e-07,1.3425,2.765
125,4.537e-07,1.3542,2.7727
126,4.559e-07,1.366,2.7802
127,4.5811e-07,1.3778,2.7876
128,4.6033e-07,1.3896,2.7948
129,4.6256e-07,1.4013,2.802
130,4.648e-07,1.4131,2.809
131,4.6705e-07,1.4249,2.8159
132,4.693199999999999e-07,1.4366,2.8227
133,4.7158999999999995e-07,1.4484,2.8294
134,4.7386999999999994e-07,1.4601,2.8359
135,4.7616999999999996e-07,1.4717,2.8424
136,4.7848e-07,1.4834,2.8487
137,4.808e-07,1.495,2.855
138,4.8313e-07,1.5065,2.8611
139,4.8547e-07,1.518,2.8671
140,4.878199999999999e-07,1.5295,2.8731
141,4.9018e-07,1.5409,2.8789
142,4.9256e-07,1.5522,2.8846
143,4.9494e-07,1.5635,2.8903
144,4.973399999999999e-07,1.5747,2.8959
145,4.9975e-07,1.5858,2.9014
146,5.0217e-07,1.5969,2.9068
147,5.046e-07,1.6079,2.9122
148,5.0705e-07,1.6188,2.9175
149,5.0951e-07,1.6296,2.9227
150,5.1197e-07,1.6403,2.9279
151,5.144499999999999e-07,1.651,2.933
152,5.1695e-07,1.6616,2.9381
153,5.1945e-07,1.6721,2.9432
154,5.2197e-07,1.6825,2.9482
155,5.244999999999999e-07,1.6928,2.9532
156,5.270399999999999e-07,1.703,2.9582
157,5.2959e-07,1.7131,2.9631
158,5.3216e-07,1.7232,2.9681
159,5.3474e-07,1.7332,2.973
160,5.373299999999999e-07,1.7431,2.9779
161,5.3993e-07,1.7529,2.9828
162,5.425399999999999e-07,1.7626,2.9878
163,5.451699999999999e-07,1.7723,2.9927
164,5.4781e-07,1.7818,2.9977
165,5.5047e-07,1.7913,3.0026
166,5.5314e-07,1.8008,3.0076
167,5.5582e-07,1.8101,3.0126
168,5.5851e-07,1.8194,3.0177
169,5.6121e-07,1.8286,3.0227
170,5.6393e-07,1.8378,3.0278
171,5.6667e-07,1.8469,3.033
172,5.694100000000001e-07,1.856,3.0381
173,5.721699999999999e-07,1.865,3.0434
174,5.749399999999999e-07,1.8739,3.0486
175,5.7773e-07,1.8828,3.0539
176,5.8053e-07,1.8917,3.0593
177,5.833399999999999e-07,1.9005,3.0647
178,5.861699999999999e-07,1.9093,3.0701
179,5.89e-07,1.9181,3.0756
180,5.918600000000001e-07,1.9268,3.0812
181,5.9473e-07,1.9355,3.0867
182,5.976100000000001e-07,1.9442,3.0924
183,6.005e-07,1.9529,3.0981
184,6.0341e-07,1.9615,3.1038
185,6.0634e-07,1.9702,3.1097
186,6.0927e-07,1.9788,3.1155
187,6.1222e-07,1.9874,3.1214
188,6.1519e-07,1.996,3.1274
189,6.1817e-07,2.0047,3.1334
190,6.2117e-07,2.0133,3.1394
191,6.241800000000001e-07,2.0219,3.1455
192,6.271999999999999e-07,2.0305,3.1517
193,6.302399999999999e-07,2.0391,3.1579
194,6.332899999999999e-07,2.0478,3.1642
195,6.3636e-07,2.0564,3.1705
196,6.3944e-07,2.0651,3.1768
197,6.425399999999999e-07,2.0737,3.1832
198,6.456499999999999e-07,2.0824,3.1896
199,6.4878e-07,2.0911,3.1961
200,6.519299999999999e-07,2.0999,3.2026
201,6.5508e-07,2.1086,3.2091
202,6.582600000000001e-07,2.1174,3.2157
203,6.614499999999999e-07,2.1262,3.2223
204,6.6465e-07,2.135,3.229
205,6.678699999999999e-07,2.1438,3.2356
206,6.7111e-07,2.1527,3.2424
207,6.7436e-07,2.1616,3.2491
208,6.776300000000001e-07,2.1705,3.2559
209,6.8091e-07,2.1795,3.2627
210,6.842099999999999e-07,2.1885,3.2695
211,6.8752e-07,2.1975,3.2763
212,6.908499999999999e-07,2.2066,3.2832
