,wl,n,k
150,9.4402e-06,6.7583,17.099
151,9.6721e-06,6.9203,17.484
152,9.909599999999999e-06,7.0897,17.873
153,1.0152999999999997e-05,7.2669,18.269000000000002
154,1.0402000000000001e-05,7.4518,18.669
155,1.0657999999999999e-05,7.6446,19.074
156,1.0919999999999999e-05,7.8454,19.485
157,1.1187999999999999e-05,8.0544,19.9
158,1.1462999999999998e-05,8.2718,20.32
159,1.1744000000000001e-05,8.4975,20.744
160,1.2032e-05,8.7317,21.173000000000002
161,1.2328e-05,8.9746,21.607
162,1.2630999999999998e-05,9.2261,22.044
163,1.2940999999999999e-05,9.4864,22.485
164,1.3259e-05,9.7556,22.93
165,1.3584e-05,10.033999999999999,23.379
166,1.3917999999999998e-05,10.321,23.831999999999997
167,1.4259999999999999e-05,10.617,24.287
168,1.4609999999999999e-05,10.922,24.746
169,1.4969e-05,11.235999999999999,25.208000000000002
170,1.5337e-05,11.56,25.673000000000002
171,1.5713e-05,11.892000000000001,26.14
172,1.6099e-05,12.234000000000002,26.61
173,1.6493999999999998e-05,12.585,27.083000000000002
174,1.6899999999999997e-05,12.944,27.557
175,1.7315e-05,13.312999999999999,28.034000000000002
176,1.7739999999999996e-05,13.690999999999999,28.513
177,1.8175999999999997e-05,14.078,28.993000000000002
178,1.8622e-05,14.472999999999999,29.475
179,1.9078999999999998e-05,14.878,29.959
180,1.9547999999999996e-05,15.290999999999999,30.444000000000003
181,2.0028e-05,15.713,30.93
182,2.052e-05,16.143,31.418000000000003
183,2.1024e-05,16.582,31.906999999999996
184,2.1539999999999997e-05,17.029,32.396
185,2.2069e-05,17.484,32.887
186,2.2611e-05,17.948,33.379
187,2.3165999999999998e-05,18.419,33.872
188,2.3735e-05,18.898,34.365
189,2.4318e-05,19.385,34.859
190,2.4916e-05,19.88,35.355
191,2.5528e-05,20.382,35.85
192,2.6153999999999997e-05,20.892,36.347
193,2.6796999999999994e-05,21.408,36.845
194,2.7454999999999997e-05,21.932,37.343
195,2.8129e-05,22.463,37.842
196,2.882e-05,23.0,38.343
197,2.9528000000000003e-05,23.545,38.844
198,3.0253e-05,24.096,39.346
199,3.0996e-05,24.653000000000002,39.849000000000004
