Wavelength,n,k
2.000e-06,4.01,6.31
2.138e-06,4.01,6.65
2.296e-06,3.92,7.06
2.480e-06,3.83,7.58
2.695e-06,3.72,8.20
2.952e-06,3.47,8.97
3.263e-06,3.09,10.2
3.647e-06,2.89,12.0
4.133e-06,3.15,14.3
4.769e-06,3.91,17.1
5.636e-06,5.30,20.6
6.888e-06,8.73,25.4
8.856e-06,15.3,26.4
12.40e-06,11.8,29.8
13.78e-06,11.8,33.9
15.50e-06,13.6,42.2
20.66e-06,21.2,42.0
31.00e-06,14.9,65.2
