wl,k
6.4878e-01,3.1961e+00
6.5193e-01,3.2026e+00
6.5508e-01,3.2091e+00
6.5826e-01,3.2157e+00
6.6145e-01,3.2223e+00
6.6465e-01,3.2290e+00
6.6787e-01,3.2356e+00
6.7111e-01,3.2424e+00
6.7436e-01,3.2491e+00
6.7763e-01,3.2559e+00
6.8091e-01,3.2627e+00
6.8421e-01,3.2695e+00
6.8752e-01,3.2763e+00
6.9085e-01,3.2832e+00
6.9420e-01,3.2901e+00
6.9756e-01,3.2970e+00
7.0094e-01,3.3039e+00
7.0434e-01,3.3108e+00
7.0775e-01,3.3178e+00
7.1118e-01,3.3248e+00
7.1463e-01,3.3317e+00
7.1809e-01,3.3387e+00
7.2157e-01,3.3457e+00
7.2506e-01,3.3528e+00
7.2858e-01,3.3598e+00
7.3211e-01,3.3668e+00
7.3565e-01,3.3738e+00
7.3922e-01,3.3809e+00
7.4280e-01,3.3879e+00
7.4640e-01,3.3950e+00
7.5001e-01,3.4020e+00
7.5365e-01,3.4091e+00
7.5730e-01,3.4161e+00
7.6097e-01,3.4231e+00
7.6465e-01,3.4302e+00
7.6836e-01,3.4372e+00
7.7208e-01,3.4443e+00
7.7582e-01,3.4513e+00
7.7958e-01,3.4583e+00
7.8336e-01,3.4654e+00
7.8715e-01,3.4724e+00
7.9097e-01,3.4794e+00
7.9480e-01,3.4864e+00
7.9865e-01,3.4934e+00
8.0252e-01,3.5004e+00
8.0641e-01,3.5074e+00
8.1031e-01,3.5143e+00
8.1424e-01,3.5213e+00
8.1819e-01,3.5282e+00
8.2215e-01,3.5352e+00
8.2613e-01,3.5421e+00
8.3013e-01,3.5490e+00
8.3416e-01,3.5559e+00
8.3820e-01,3.5628e+00
8.4226e-01,3.5697e+00
8.4634e-01,3.5766e+00
8.5044e-01,3.5835e+00
8.5456e-01,3.5903e+00
8.5870e-01,3.5972e+00
8.6286e-01,3.6040e+00
8.6704e-01,3.6108e+00
8.7124e-01,3.6176e+00
8.7546e-01,3.6244e+00
8.7970e-01,3.6312e+00
8.8397e-01,3.6379e+00
8.8825e-01,3.6447e+00
8.9255e-01,3.6514e+00
8.9688e-01,3.6581e+00
9.0122e-01,3.6649e+00
9.0559e-01,3.6716e+00
9.0998e-01,3.6782e+00
9.1438e-01,3.6849e+00
9.1881e-01,3.6916e+00
9.2327e-01,3.6982e+00
9.2774e-01,3.7049e+00
9.3223e-01,3.7115e+00
9.3675e-01,3.7181e+00
9.4129e-01,3.7248e+00
9.4585e-01,3.7314e+00
9.5043e-01,3.7379e+00
9.5504e-01,3.7445e+00
9.5966e-01,3.7511e+00
9.6431e-01,3.7577e+00
9.6898e-01,3.7642e+00
9.7368e-01,3.7708e+00
9.7840e-01,3.7773e+00
9.8314e-01,3.7838e+00
9.8790e-01,3.7903e+00
9.9269e-01,3.7968e+00
9.9750e-01,3.8033e+00
1.0023e+00,3.8098e+00
1.0072e+00,3.8163e+00
1.0121e+00,3.8228e+00
1.0170e+00,3.8293e+00
1.0219e+00,3.8357e+00
1.0268e+00,3.8422e+00
1.0318e+00,3.8487e+00
1.0368e+00,3.8551e+00
1.0418e+00,3.8616e+00
1.0469e+00,3.8680e+00
1.0520e+00,3.8745e+00
1.0571e+00,3.8809e+00
1.0622e+00,3.8874e+00
1.0673e+00,3.8938e+00
1.0725e+00,3.9002e+00
1.0777e+00,3.9067e+00
1.0829e+00,3.9131e+00
1.0882e+00,3.9195e+00
1.0934e+00,3.9260e+00
1.0987e+00,3.9324e+00
1.1041e+00,3.9388e+00
1.1094e+00,3.9453e+00
1.1148e+00,3.9517e+00
1.1202e+00,3.9581e+00
1.1256e+00,3.9646e+00
1.1311e+00,3.9710e+00
1.1365e+00,3.9775e+00
1.1420e+00,3.9839e+00
1.1476e+00,3.9904e+00
1.1531e+00,3.9968e+00
1.1587e+00,4.0033e+00
1.1643e+00,4.0098e+00
1.1700e+00,4.0162e+00
1.1756e+00,4.0227e+00
1.1813e+00,4.0292e+00
1.1871e+00,4.0357e+00
1.1928e+00,4.0422e+00
1.1986e+00,4.0487e+00
1.2044e+00,4.0553e+00
1.2102e+00,4.0618e+00
1.2161e+00,4.0683e+00
1.2220e+00,4.0749e+00
1.2279e+00,4.0814e+00
1.2339e+00,4.0880e+00
1.2398e+00,4.0946e+00
1.2458e+00,4.1012e+00
1.2519e+00,4.1078e+00
1.2579e+00,4.1144e+00
1.2640e+00,4.1210e+00
1.2702e+00,4.1277e+00
1.2763e+00,4.1343e+00
1.2825e+00,4.1410e+00
1.2887e+00,4.1477e+00
1.2950e+00,4.1544e+00
1.3012e+00,4.1611e+00
1.3075e+00,4.1678e+00
1.3139e+00,4.1746e+00
1.3202e+00,4.1813e+00
1.3266e+00,4.1881e+00
1.3331e+00,4.1949e+00
1.3395e+00,4.2017e+00
1.3460e+00,4.2085e+00
1.3525e+00,4.2154e+00
1.3591e+00,4.2222e+00
1.3657e+00,4.2291e+00
1.3723e+00,4.2360e+00
1.3789e+00,4.2429e+00
1.3856e+00,4.2499e+00
1.3923e+00,4.2569e+00
1.3991e+00,4.2638e+00
1.4059e+00,4.2708e+00
1.4127e+00,4.2779e+00
1.4195e+00,4.2849e+00
1.4264e+00,4.2920e+00
1.4333e+00,4.2991e+00
1.4402e+00,4.3062e+00
1.4472e+00,4.3133e+00
1.4542e+00,4.3205e+00
1.4613e+00,4.3277e+00
1.4684e+00,4.3349e+00
1.4755e+00,4.3421e+00
1.4826e+00,4.3494e+00
1.4898e+00,4.3567e+00
1.4970e+00,4.3640e+00
1.5043e+00,4.3713e+00
1.5116e+00,4.3787e+00
1.5189e+00,4.3861e+00
1.5262e+00,4.3935e+00
1.5336e+00,4.4009e+00
1.5411e+00,4.4084e+00
1.5485e+00,4.4159e+00
1.5560e+00,4.4235e+00
1.5636e+00,4.4310e+00
1.5712e+00,4.4386e+00
1.5788e+00,4.4462e+00
1.5864e+00,4.4539e+00
1.5941e+00,4.4616e+00
1.6018e+00,4.4693e+00
1.6096e+00,4.4770e+00
1.6174e+00,4.4848e+00
1.6252e+00,4.4926e+00
1.6331e+00,4.5005e+00
1.6410e+00,4.5083e+00
1.6490e+00,4.5162e+00
1.6569e+00,4.5242e+00
1.6650e+00,4.5322e+00
1.6730e+00,4.5402e+00
1.6811e+00,4.5482e+00
1.6893e+00,4.5563e+00
1.6975e+00,4.5644e+00
1.7057e+00,4.5726e+00
1.7140e+00,4.5808e+00
1.7223e+00,4.5890e+00
1.7306e+00,4.5973e+00
1.7390e+00,4.6056e+00
1.7474e+00,4.6139e+00
1.7559e+00,4.6223e+00
1.7644e+00,4.6307e+00
1.7729e+00,4.6392e+00
1.7815e+00,4.6477e+00
1.7902e+00,4.6563e+00
1.7988e+00,4.6648e+00
1.8075e+00,4.6735e+00
1.8163e+00,4.6821e+00
1.8251e+00,4.6909e+00
1.8339e+00,4.6996e+00
1.8428e+00,4.7084e+00
1.8518e+00,4.7173e+00
1.8607e+00,4.7262e+00
1.8697e+00,4.7351e+00
1.8788e+00,4.7441e+00
1.8879e+00,4.7531e+00
1.8971e+00,4.7622e+00
1.9062e+00,4.7713e+00
1.9155e+00,4.7805e+00
1.9248e+00,4.7897e+00
1.9341e+00,4.7990e+00
1.9435e+00,4.8084e+00
1.9529e+00,4.8177e+00
1.9623e+00,4.8272e+00
1.9718e+00,4.8366e+00
1.9814e+00,4.8462e+00
1.9910e+00,4.8558e+00
2.0006e+00,4.8654e+00
2.0103e+00,4.8751e+00
2.0201e+00,4.8849e+00
2.0299e+00,4.8947e+00
2.0397e+00,4.9046e+00
2.0496e+00,4.9145e+00
2.0595e+00,4.9245e+00
2.0695e+00,4.9345e+00
2.0795e+00,4.9446e+00
2.0896e+00,4.9548e+00
2.0997e+00,4.9650e+00
2.1099e+00,4.9753e+00
2.1201e+00,4.9857e+00
2.1304e+00,4.9961e+00
2.1407e+00,5.0066e+00
2.1511e+00,5.0171e+00
2.1615e+00,5.0277e+00
2.1720e+00,5.0384e+00
2.1825e+00,5.0492e+00
2.1931e+00,5.0600e+00
2.2037e+00,5.0709e+00
2.2144e+00,5.0818e+00
2.2251e+00,5.0929e+00
2.2359e+00,5.1040e+00
2.2467e+00,5.1152e+00
2.2576e+00,5.1264e+00
2.2685e+00,5.1378e+00
2.2795e+00,5.1492e+00
2.2906e+00,5.1607e+00
2.3017e+00,5.1722e+00
2.3128e+00,5.1839e+00
2.3240e+00,5.1956e+00
2.3353e+00,5.2074e+00
2.3466e+00,5.2193e+00
2.3579e+00,5.2313e+00
2.3694e+00,5.2434e+00
2.3809e+00,5.2555e+00
2.3924e+00,5.2678e+00
2.4040e+00,5.2801e+00
2.4156e+00,5.2925e+00
2.4273e+00,5.3050e+00
2.4391e+00,5.3176e+00
2.4509e+00,5.3303e+00
2.4628e+00,5.3431e+00
2.4747e+00,5.3560e+00
2.4867e+00,5.3690e+00
2.4987e+00,5.3821e+00
2.5109e+00,5.3953e+00
2.5230e+00,5.4086e+00
2.5352e+00,5.4220e+00
2.5475e+00,5.4355e+00
2.5599e+00,5.4491e+00
2.5723e+00,5.4628e+00
2.5847e+00,5.4766e+00
2.5973e+00,5.4905e+00
2.6098e+00,5.5046e+00
2.6225e+00,5.5187e+00
2.6352e+00,5.5330e+00
2.6480e+00,5.5474e+00
2.6608e+00,5.5619e+00
2.6737e+00,5.5765e+00
2.6866e+00,5.5912e+00
2.6996e+00,5.6061e+00
2.7127e+00,5.6211e+00
2.7259e+00,5.6362e+00
2.7391e+00,5.6514e+00
2.7523e+00,5.6668e+00
2.7657e+00,5.6823e+00
2.7791e+00,5.6979e+00
2.7925e+00,5.7137e+00
2.8061e+00,5.7296e+00
2.8197e+00,5.7456e+00
2.8333e+00,5.7618e+00
2.8471e+00,5.7781e+00
2.8608e+00,5.7946e+00
2.8747e+00,5.8112e+00
2.8886e+00,5.8279e+00
2.9026e+00,5.8448e+00
2.9167e+00,5.8619e+00
2.9308e+00,5.8791e+00
2.9450e+00,5.8964e+00
2.9593e+00,5.9139e+00
2.9736e+00,5.9316e+00
2.9880e+00,5.9494e+00
3.0025e+00,5.9674e+00
3.0171e+00,5.9855e+00
3.0317e+00,6.0038e+00
3.0464e+00,6.0223e+00
3.0611e+00,6.0410e+00
3.0760e+00,6.0598e+00
3.0909e+00,6.0788e+00
